Size,Standard Multiplication,Multithraed Multiplication,Strassen Multiplication,
495,297954,75867.2,67814.1,
496,301214,76452,66307.1,
497,302096,77130.9,69811.4,
498,305505,77538.7,69768.2,
499,304244,77414.5,69996.1,
500,306246,77969.9,69828.7,
501,308022,78520.7,72175,
502,311076,78970.1,71834.7,
503,310455,78904.2,69801.2,
504,316991,80577.3,68048.1,
505,317959,80738,102164,
506,316777,80463.7,102236,
507,317103,80376.3,103065,
508,321192,81714,103853,
509,324023,82177.1,102357,
510,322404,82144.5,105504,
511,327554,83372,103520,
512,326278,83212.6,102777,
513,328551,83774.7,114424,
514,330564,84564,114295,
515,339045,86561.1,115420,
516,339446,86771.4,114409,
517,344520,88027.7,113848,
518,346206,88278.3,115675,
519,346822,88425.3,114747,
520,349440,89043,114260,
521,351080,89604.8,117123,
522,353255,90317.6,113772,
523,350665,90436.4,114687,
524,356997,90775.7,115234,
525,360391,91690.8,117042,
526,361790,92576.8,113374,
527,362885,92640.2,114870,
528,366144,94163.5,114529,
529,367223,93660.6,121967,
530,369952,94633.7,121036,
531,372042,95236.4,121462,
532,373645,95091.4,121751,
533,375690,95878.9,122812,
534,377055,96794.3,121073,
535,381041,97294.6,121396,
536,376803,97608.9,120831,
537,385900,98016.4,121186,
538,386332,98979.2,121880,
539,385478,100201,121597,
540,391339,100584,122148,
541,393104,100250,122895,
542,395886,100811,121344,
543,397136,101785,121033,
544,399610,101971,119003,
545,402349,102333,129816,
546,403400,104339,130476,
547,404300,103770,118475,
548,403914,102991,124266,
549,411333,106308,126038,
550,412692,105872,127031,
551,413761,105684,128632,
552,418587,107428,126426,
553,419034,106650,130635,
554,422855,108295,123365,
555,422509,108790,126089,
556,425634,108664,118496,
557,427016,109495,132730,
558,429517,110867,133237,
559,431003,110804,128026,
560,435044,110824,131237,
561,437650,111843,138021,
562,437731,111843,133078,
563,442214,113193,136537,
564,444900,113451,135491,
565,446190,115005,133280,
566,448682,114440,136806,
567,453232,116717,136345,
568,453595,116806,133331,
569,455562,117581,134652,
570,461149,117597,136173,
571,459782,117628,133749,
572,463022,118205,138090,
573,463925,118599,136737,
574,468657,120125,134820,
575,470238,120763,122344,
576,467055,120379,137036,
577,475334,121740,143639,
578,479171,122728,145026,
579,476312,121649,144601,
580,482075,123625,148398,
581,484299,123375,144152,
582,487912,125009,147240,
583,489309,125086,145533,
584,491752,125908,146491,
585,490871,125429,144329,
586,497488,127706,153293,
587,501529,128055,156300,
588,503527,128201,145271,
589,504697,128856,145034,
590,505812,138987,143088,
591,507555,130192,144176,
592,513677,131315,145840,
593,515082,131886,154507,
594,522854,133277,155623,
595,521075,133597,152834,
596,520402,133448,156210,
597,523867,134768,484467,
598,527240,135511,155508,
599,532227,136208,149460,
600,535175,136752,154371,
601,534136,137417,151302,
602,539712,138158,153636,
603,539091,138668,153155,
604,543941,138978,152441,
605,545984,138939,151738,
606,553466,141560,154480,
607,552933,141904,153671,
608,554828,142513,155563,
609,558254,142187,152672,
610,560287,143675,149814,
611,567178,145061,150719,
612,571575,146978,153451,
613,571561,146711,149715,
614,575573,147429,150818,
615,577950,147515,149511,
616,581418,149734,149597,
617,582624,150201,150097,
618,587630,150268,152597,
619,588966,150025,150582,
620,591955,152067,149845,
621,594016,151855,151478,
622,597699,153329,150071,
623,599945,153489,149495,
624,603560,153991,150122,
625,606470,154529,163387,
626,608725,156109,161105,
627,610863,157179,162819,
628,613810,158253,158730,
629,615979,158626,160027,
630,619286,160272,161494,
631,620754,161071,161019,
632,626096,160186,161703,
633,630095,162383,162936,
634,629729,162385,164759,
635,636541,162612,165920,
636,637677,163395,164454,
637,641341,163747,160879,
638,645174,166002,161069,
639,648051,165872,159491,
640,650903,167217,157550,
641,653883,167049,175868,
642,655563,168346,178294,
643,659800,168926,176663,
644,662405,169514,179322,
645,665208,170881,177983,
646,668184,171482,177458,
647,671565,172550,177495,
648,674108,173206,177013,
649,678927,174638,175374,
650,679989,174631,177233,
651,683540,177150,176102,
652,687970,175721,178812,
653,689778,176983,176307,
654,693154,177077,179093,
655,696260,178697,175818,
656,700190,179957,179834,
657,705713,180846,187935,
658,708539,181358,182372,
659,708424,182125,183618,
660,712611,182480,189859,
661,715042,184255,189418,
662,719717,186807,185235,
663,719573,185857,185602,
664,725346,185662,189016,
665,731347,188356,188490,
666,732641,187575,184018,
667,735493,190519,186388,
668,739330,189091,183540,
669,742849,192737,186376,
670,745508,193664,186296,
671,747374,192649,186536,
672,750231,192982,188130,
673,755866,193632,183228,
674,758096,193858,184486,
675,766468,197350,185505,
676,770745,197432,186936,
677,769923,198341,185368,
678,772821,197809,183839,
679,776371,199128,183877,
680,781937,199816,182783,
681,783209,200572,185253,
682,787695,202601,184764,
683,790440,202298,182882,
684,795913,203469,184397,
685,797502,204749,184839,
686,797578,205090,187021,
687,804619,207922,183184,
688,808955,206188,183830,
689,810462,207834,191027,
690,815150,210049,193823,
691,818250,209587,193939,
692,820798,210996,191683,
693,826207,211051,193422,
694,828435,213130,190337,
695,836258,214289,193975,
696,836400,216412,191471,
697,843679,215650,194576,
698,859386,219565,193617,
699,846972,217857,191309,
700,850878,218230,190122,
701,854391,218546,191848,
702,857788,220761,194575,
703,859840,220996,193344,
704,864256,222940,191326,
705,868536,225381,215492,
706,870124,224038,212616,
707,878850,224750,218340,
708,878684,224886,215584,
709,882089,226603,216989,
710,886986,227006,246680,
711,894515,231189,216135,
712,893072,229080,214396,
713,897745,231034,215682,
714,904538,231101,216024,
715,902619,232300,215323,
716,910566,233892,212907,
717,914990,236755,215126,
718,916788,235661,214478,
719,921141,236657,216661,
720,921405,236895,211684,
721,931523,238291,222255,
722,950748,245822,221093,
723,940283,241775,224081,
724,939070,240624,225416,
725,944717,242335,222270,
726,950074,246250,226641,
727,949831,243919,224516,
728,951263,244198,222104,
729,961507,244944,223117,
730,963601,247750,221799,
731,967543,248038,222610,
732,973615,250316,223757,
733,978179,250719,223720,
734,980726,251880,225001,
735,985798,251846,228121,
736,986152,254220,220424,
737,992577,255046,233635,
738,994193,256695,231651,
739,1.00376e+06,257338,234393,
740,1.00784e+06,259520,232559,
741,1.01298e+06,258454,234402,
